,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Ada__learning_rate,param_Ada__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
19,252.56180400848388,4.7392675705806395,4.677973985671997,0.8246561604136281,0.5,1000,"{'Ada__learning_rate': 0.5, 'Ada__n_estimators': 1000}",0.5790697674418605,0.5728245695672406,0.5816658911121452,0.5714285714285714,0.59004187994416,0.5790061358987955,0.006700705022828985,10
20,29.232470417022704,1.002247928900181,1.445073175430298,0.2764994103994439,1,100,"{'Ada__learning_rate': 1, 'Ada__n_estimators': 100}",0.5455813953488372,0.5421126105165193,0.5379246161005119,0.5407166123778502,0.5570032573289903,0.5446676983345418,0.006642432836684358,29
21,54.33236756324768,1.4962427934937348,1.8412296295166015,0.340619232877242,1,200,"{'Ada__learning_rate': 1, 'Ada__n_estimators': 200}",0.5674418604651162,0.5416472778036296,0.5439739413680782,0.5467659376454165,0.5691019078641228,0.5537861850292727,0.011949610078935729,23
22,79.70664386749267,2.9992053222280157,2.1828920364379885,0.39422661496896283,1,300,"{'Ada__learning_rate': 1, 'Ada__n_estimators': 300}",0.5697674418604651,0.5435086086551885,0.5537459283387622,0.5500232666356445,0.5625872498836668,0.5559264990747455,0.009270861264984151,21
23,103.86975183486939,2.4669364162097094,2.702971076965332,0.45626849997986807,1,400,"{'Ada__learning_rate': 1, 'Ada__n_estimators': 400}",0.5706976744186046,0.5421126105165193,0.5472312703583062,0.5644485807352256,0.5663099115867846,0.5581600095230881,0.01131473753277645,20
24,128.49218220710753,2.1316778725788508,3.070367956161499,0.5582432631551584,1,500,"{'Ada__learning_rate': 1, 'Ada__n_estimators': 500}",0.5655813953488372,0.5411819450907399,0.536063285248953,0.5570032573289903,0.5667752442996743,0.5533210254634391,0.012570428595217474,24
25,152.94797387123108,3.842210332246383,3.509797954559326,0.6260747916031194,1,600,"{'Ada__learning_rate': 1, 'Ada__n_estimators': 600}",0.5618604651162791,0.549092601209865,0.536063285248953,0.5560725919032108,0.5681712424383434,0.5542520371833302,0.011067044289463566,22
26,177.16668634414674,4.456719490501691,3.8319565296173095,0.7815338199326656,1,700,"{'Ada__learning_rate': 1, 'Ada__n_estimators': 700}",0.5497674418604651,0.5486272684969753,0.539320614239181,0.549092601209865,0.5644485807352256,0.5502513013083423,0.008065442968428245,25
27,203.3602014541626,5.47801112517111,4.317380142211914,0.8473087795055847,1,800,"{'Ada__learning_rate': 1, 'Ada__n_estimators': 800}",0.5511627906976744,0.5435086086551885,0.5435086086551885,0.5486272684969753,0.55746859004188,0.5488551733093814,0.005229521844774855,26
28,219.69555940628052,6.814220958225626,3.4579044342041017,0.4866591525020291,1,900,"{'Ada__learning_rate': 1, 'Ada__n_estimators': 900}",0.5367441860465116,0.5407166123778502,0.550953932061424,0.5495579339227548,0.5579339227547696,0.5471813174326621,0.007566050109649298,28
29,206.45568861961365,10.468380450903421,2.6150021076202394,0.6896094961995526,1,1000,"{'Ada__learning_rate': 1, 'Ada__n_estimators': 1000}",0.5488372093023256,0.5365286179618427,0.5495579339227548,0.5463006049325267,0.5579339227547696,0.5478316577748439,0.0068724050049186955,27
